"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",1,0,0,1,0,0.0780719051126377,2,1.92192809488736
"MPI",1,0,1,2,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,0,2,3,0,0.0147718639657485,1,1.66449777920046
"MPI",1,0,3,4,0,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",1,0,4,5,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",1,0,5,6,0,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",1,0,6,7,1,0.00260198748089857,0.514573172829758,1.27761343681912
"MPI",1,1,0,8,0,0.0780719051126377,2,1.92192809488736
"MPI",1,1,1,9,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,1,2,10,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",1,1,3,11,0,0.0148736716970261,1.22239242133645,1.75
"MPI",1,1,4,12,0,0.00892394016177786,1,1.65774272650489
"MPI",1,1,5,13,0,0.0479969065549501,3.16992500144231,1.76096404744368
"MPI",1,1,6,14,0,0.00596978852304345,1,1.68581570915303
"MPI",1,1,7,15,0,0.0411357845828078,3.4594316186373,1.79248125036058
"MPI",1,1,8,16,0,0.00427254791507444,1,1.72724860626392
"MPI",1,1,9,17,0,0.00316769776485714,0.893084796083488,1.66449777920046
"MPI",1,1,10,18,0,0.0174568265933169,2.8073549220576,1.72323142879762
"MPI",1,1,11,19,0,0.0165710644937353,2.90689059560852,1.78063906222957
"MPI",1,1,12,20,0,0.00249745363088484,1,1.73222166376165
"MPI",1,1,13,21,0,0.00198400283305474,0.917537839808027,1.68497744848673
"MPI",1,1,14,22,0,0.0143599881125936,3.16992500144231,1.74877259474022
"MPI",1,2,0,23,0,0.0780719051126377,2,1.92192809488736
"MPI",1,2,1,24,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,2,2,25,0,0.0147718639657485,1,1.66449777920046
"MPI",1,2,3,26,0,0.0573549220576041,2.8073549220576,1.75
"MPI",1,2,4,27,0,0.00892394016177786,1,1.65774272650489
"MPI",1,2,5,28,0,0.00581755005522627,0.84799690655495,1.57095059445467
"MPI",1,2,6,29,0,0.00401892619144097,0.736965594166206,1.49111485005519
"MPI",1,2,7,30,0,0.00289916987773836,0.652076696579693,1.41829583405449
"MPI",1,2,8,31,0,0.038368936426218,3.58496250072116,1.54659356429494
"MPI",1,2,9,32,0,0.00232229701068887,0.700439718141092,1.48383170684469
"MPI",1,2,10,33,0,0.00179972207911885,0.637429920615292,1.42560519901694
"MPI",1,2,11,34,0,0.00142426818659878,0.584962500721156,1.37164076218686
"MPI",1,2,12,35,0,0.0301842175731901,4,1.49606591154385
"MPI",1,2,13,36,0,0.00122509453059963,0.628031222613042,1.44661666762821
"MPI",1,2,14,37,0,0.00100821570710418,0.584962500721156,1.40025823261021
"MPI",1,3,0,38,0,0.0780719051126377,2,1.92192809488736
"MPI",1,3,1,39,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,3,2,40,0,0.0147718639657485,1,1.66449777920046
"MPI",1,3,3,41,0,0.00855998136220559,0.807354922057604,1.5487949406954
"MPI",1,3,4,42,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",1,3,5,43,0,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",1,3,6,44,0,0.00260198748089857,0.514573172829758,1.27761343681912
"MPI",1,3,7,45,0,0.00191286899787533,0.459431618637297,1.20751874963942
"MPI",1,3,8,46,0,0.00144823907625648,0.415037499278844,1.14511041438158
"MPI",1,3,9,47,0,0.00112327902986537,0.37851162325373,1.08923007884258
"MPI",1,3,10,48,0,0.000889032116172859,0.347923303420307,1.03892059503159
"MPI",1,3,11,49,0,0.000715834762216514,0.321928094887362,0.993392729010363
"MPI",1,3,12,50,0,0.000584973739729192,0.299560281858908,0.951994081908783
"MPI",1,3,13,51,0,0.000484234433789274,0.280107919192735,0.914182838435214
"MPI",1,3,14,52,1,0.000405407486289972,0.263034405833794,0.879506460812007
"MPI",1,5,0,53,0,0.0780719051126377,2,1.92192809488736
"MPI",1,5,1,54,0,0.0702989274995393,2.32192809488736,1.91829583405449
"MPI",1,5,2,55,0,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",1,5,3,56,0,0.0148736716970261,1.22239242133645,1.75
"MPI",1,5,4,57,0,0.0522972207799098,3,1.83659166810898
"MPI",1,5,5,58,0,0.00896095399863128,1.16992500144231,1.76096404744368
"MPI",1,5,6,59,0,0.00596978852304345,1,1.68581570915303
"MPI",1,5,7,60,0,0.0207097430964302,2.4594316186373,1.72957395851362
"MPI",1,5,8,61,0,0.0383689364262179,3.58496250072116,1.83392721764183
"MPI",1,5,9,62,1,0.0042810067517119,1.11547721741994,1.77832835373141
"MPI",1,6,0,63,0,0.0780719051126377,2,1.92192809488736
"MPI",1,6,1,64,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,6,2,65,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",1,6,3,66,0,0.0148736716970261,1.22239242133645,1.75
"MPI",1,6,4,67,0,0.00892394016177786,1,1.65774272650489
"MPI",1,6,5,68,0,0.00581755005522628,0.84799690655495,1.57095059445467
"MPI",1,6,6,69,0,0.00401892619144097,0.736965594166206,1.49111485005519
"MPI",1,6,7,70,0,0.0411357845828078,3.4594316186373,1.61400546285422
"MPI",1,6,8,71,0,0.00307359977538463,0.777607578663552,1.54659356429494
