run_id,alpha,beta,temp,eps,avg_rho,signal_sd,tau_ratio,R_noise,stickiness,l1,travel_steps
run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.01,0.0001,0.0001,0.0,-0.015729801399219662,0.013205241851258482,100.0,0.0075727503612870095,0.0,1e-06,50.0
run_001_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.01,0.0001,1.0,0.0,-0.007372493609957694,0.010086483010531578,100.0,99.14258507706523,0.0,1e-06,50.0
run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.03,0.0001,0.0001,0.0,-0.013957875512555519,0.026473395862658643,300.0,0.003777377126787591,0.0,1e-06,50.0
run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.03,0.0001,1.0,0.0,-0.007593360713460521,0.03032738215979328,300.0,32.97350212197861,0.0,1e-06,50.0
run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.1,0.0001,0.0001,0.0,-0.012832341326096557,0.08593584529363263,1000.0,0.0011636587696125154,0.0,1e-06,50.0
run_005_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.1,0.0001,1.0,0.0,-0.007938052192441062,0.0998961109446632,1000.0,10.010399709693838,0.0,1e-06,50.0
run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.01,0.001,0.0001,0.0,-0.011455313448220249,0.012272508498589177,10.0,0.008148293399959414,0.0,1e-06,50.0
run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.01,0.001,1.0,0.0,-0.0077562951774687245,0.010022750045973678,10.0,99.77301593006584,0.0,1e-06,50.0
run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.03,0.001,0.0001,0.0,-0.010981534882568167,0.02165160998764047,30.0,0.0046185941857018326,0.0,1e-06,50.0
run_009_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.03,0.001,1.0,0.0,-0.007393994498713083,0.029566718588272523,30.0,33.82181208288175,0.0,1e-06,50.0
run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.1,0.001,0.0001,0.0,-0.011668078774486194,0.08219423224588152,100.0,0.0012166303798647705,0.0,1e-06,50.0
run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.1,0.001,1.0,0.0,-0.00712896658663319,0.09416369452522547,100.0,10.619804214798629,0.0,1e-06,50.0
run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.01,0.003,0.0001,0.0,-0.020516728761843003,0.018655921286614176,3.3333333333333335,0.005360228447777118,0.0,1e-06,50.0
run_013_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.01,0.003,1.0,0.0,-0.007726985830029942,0.009014968351758263,3.3333333333333335,110.92662347560675,0.0,1e-06,50.0
