run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.995085550506191,0.0215457581820264,0.125,1,7,0.0782062565045557,-0.4153259756999881,-5.310648971873423,-12.786700766603593,0.1207255405848552,3351.346446993784,True,600000,50000,866251,0.01,0.0001,0.0001,1e-06,50.0
run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.9956804517999618,0.0708359827561865,0.0625,1,15,0.0252091303538513,-0.1371446157811134,-5.440275561118705,-39.66816728555741,0.072352406666128,3073.233588487896,True,600000,50000,929151,0.03,0.001,0.0001,1e-06,50.0
run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.9907026810402132,0.2768445917835944,0.25,1,3,0.0171532336317269,-0.0800831028013962,-4.668688395479724,-58.298045806965504,0.0636327980872617,5907.447185926147,True,600000,50000,1412351,0.1,0.003,0.0001,1e-06,50.0
run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.9966009678744384,0.0067594256683535,0.25,1,3,0.0885899980254677,-0.5032673526959361,-5.680859734879522,-11.287956002804302,0.0781128129387772,2460.2074303262684,True,600000,50000,756801,0.01,0.001,0.0001,1e-05,50.0
run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.9921888347537818,0.1243064219278589,0.0625,1,15,0.0350652840579593,-0.1698688347510368,-4.844359294801683,-28.518234683258257,0.1015518705948368,5003.495607159392,True,600000,50000,1163601,0.03,0.003,0.0001,1e-05,50.0
run_040_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.973560198409906,0.8604888844954383,0.3333333333333333,1,2,0.0186988862905234,-0.0674298509542835,-3.606089149194768,-53.47912086650827,0.1014684015235123,13504.265051580282,True,600000,50000,2970051,0.1,0.0001,0.0001,0.0001,50.0
run_048_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.9948286842890648,0.0071059319911758,0.0140845070422535,1,70,0.3508022073414845,-1.8450243541267768,-5.25944340005466,-2.850609201060588,0.2266996527756518,3322.496616990071,True,600000,50000,763101,0.01,0.003,0.0001,0.0001,50.0
run_056_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.9964181241558258,0.7579556443756088,0.0001428367376089,1,7000,0.0346969823244744,-0.1952843431569613,-5.628280330857832,-28.82095020968505,0.2348918631930507,2321.6749658414737,True,600000,50000,830751,0.03,0.0001,0.0001,,50.0
run_064_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.9954584940871284,0.3530371138005599,0.25,1,3,0.0135241153595916,-0.0728942348942805,-5.389944773177499,-73.94198980200022,0.0647047233366099,3325.676239464053,True,600000,50000,1169001,0.1,0.001,0.0001,,50.0
run_072_dist-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.9975422168872516,0.0077895324977868,0.3333333333333333,1,2,0.0593814628471386,-0.3566471264322369,-6.00603470059886,-16.84027223401731,0.0740230622195541,1816.4708683692008,True,600000,50000,699601,0.01,0.0001,0.0001,,50.0
run_080_dist-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.995964134802561,0.0969967496941255,0.1666666666666666,1,5,0.026839750623226,-0.1478465125598901,-5.508490545808178,-37.25817031752293,0.0880124444500045,2971.952363284492,True,600000,50000,915251,0.03,0.001,0.0001,,50.0
run_088_dist-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.988798088648191,0.7625889436964776,0.0909090909090909,1,10,0.0194524543905096,-0.0871548881828149,-4.480405733547712,-51.40739466212924,0.1098587569796872,6311.545361601399,True,600000,50000,1426651,0.1,0.003,0.0001,,50.0
run_096_l1-1e-06_beta0.001_alpha0.01_trav500_blk1_temp0.0001,0.9889369906581011,0.992967419284719,0.0099009900990099,1,100,0.0189883958951933,-0.0853153102748561,-4.493023567959862,-52.6637429259169,0.1793130163574814,6315.313000209766,True,600000,50000,9279001,0.01,0.001,0.0001,1e-06,500.0
run_1004_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.8987767857366625,0.9989007456959772,0.125,1,7,0.0355430714464992,-0.0776156393967777,-2.183706591412835,-28.134878593855834,0.3201848344072591,27407.41864546731,True,600000,50000,7074751,0.1,0.0001,0.0001,0.0005,50.0
run_1011_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.1_eps-0.01,0.4943627400393312,0.4748791411754414,0.0909090909090909,2,20,0.1022305488640709,0.0023052984019671,0.0225499953544446,-9.7818119056529,0.1055861259682467,63457.33037911624,True,600000,50000,14956251,0.1,0.0001,0.1,0.0005,50.0
run_1019_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.01_eps-0.01,0.775988261072776,0.9999961933436172,0.0001428367376089,1,7000,0.0185008699286082,-0.0229862011524723,-1.242438936178256,-54.05151238070589,0.2553349448986582,28872.79628671144,True,600000,50000,9398651,0.2,0.0001,0.01,0.0005,50.0
run_1026_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.001,0.9922028699295068,0.003456432045927,0.0625,1,15,1.1847540737910247,-5.741521860588175,-4.846171866044923,-0.8440570259447676,0.2626069885480341,4598.773553158126,True,600000,50000,846401,0.01,0.001,0.001,0.0005,50.0
run_1033_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0_eps-0.01,0.5041580280060071,0.0030954867346946,0.0128755364806866,3,230,11.142908408513543,-0.1853343733793084,-0.016632495447751,-0.0897431768564091,0.0689904418127012,69314.83246721672,True,600000,50000,15488651,0.01,0.001,1.0,0.0005,50.0
run_1040_l1-0.0005_beta0.001_alpha0.03_trav50_blk1_temp0.1,0.4946967752774037,0.1283671564070177,0.0128755364806866,3,230,0.2989145821753214,0.0063410825994505,0.0212136944049497,-3.34543732434396,0.0771760006222714,68594.8476427988,True,600000,50000,15606801,0.03,0.001,0.1,0.0005,50.0
run_1048_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.01,0.7880390717120894,0.99995585992549,0.0001428367376089,1,7000,0.0249168482882745,-0.0327194525576087,-1.3131457148617804,-40.13348672474695,0.2843286130577772,32664.04763692457,True,600000,50000,8720901,0.1,0.001,0.01,0.0005,50.0
run_1055_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.0001_eps-0.01,0.905864861659049,0.9998388882642172,0.1666666666666666,1,5,0.0234484774326178,-0.0530910752084134,-2.264158743823657,-42.64669221588586,0.2581244597233325,24896.638345488347,True,600000,50000,8197301,0.2,0.001,0.0001,0.0005,50.0
