run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.9972168673892868,0.0053926773023909025,0.25,1,3,0.06583254426333011,-0.3871869421968125,-5.881391134574187,-15.190055483804498,0.0567884389203407,2037.6590481485212,True,600000,50000,742901,0.01,0.001,0.0001,1e-06,50.0
run_014_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.9943929400946945,0.07992401137353222,0.0625,1,15,0.031889431615279316,-0.16512685525124665,-5.178105939402467,-31.358351320406285,0.0873664161054529,3759.83464409818,True,600000,50000,1072851,0.03,0.003,0.0001,1e-06,50.0
run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.9867852820267179,0.7676656181283097,0.25,1,3,0.02017340033879916,-0.08701032195383404,-4.313121263275015,-49.57022530687188,0.11112723559437679,7804.186381497562,True,600000,50000,1763201,0.1,0.0001,0.0001,1e-05,50.0
run_030_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.9954749154855715,0.004692577562785072,0.09090909090909091,1,10,0.23598089749573614,-1.2727827154204088,-5.393583671082555,-4.237631141385369,0.1180675631826145,2940.1102956250947,True,600000,50000,766151,0.01,0.003,0.0001,1e-05,50.0
run_038_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.9767776104027579,0.7357321683612996,0.09090909090909091,1,10,0.05007692516206308,-0.18724474006454953,-3.7391421190213383,-19.969277202298613,0.23857089435138526,12182.85006210103,True,600000,50000,2263101,0.03,0.0001,0.0001,0.0001,50.0
run_046_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.9783056691580326,0.9831284403256018,0.25,1,3,0.024800584971337407,-0.09445975357023702,-3.808771191462067,-40.321629556549674,0.19528948457650955,11551.891179241633,True,600000,50000,2515601,0.1,0.001,0.0001,0.0001,50.0
run_054_dist-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.9980156749507937,0.002763902358154491,0.3333333333333333,1,2,0.06245741337509806,-0.3885157248081421,-6.220490151823104,-16.010909609630147,0.04068329611021254,1492.8517181343555,True,600000,50000,691001,0.01,0.0001,0.0001,,50.0
run_062_dist-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.9959535519635825,0.20115166922871552,0.047619047619047616,1,20,0.02954027205140428,-0.16264463635646925,-5.50586115366319,-33.85209175663168,0.12191733964600351,2891.032914167221,True,600000,50000,950451,0.03,0.001,0.0001,,50.0
run_070_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.9900949218802265,0.7583251877020791,0.0625,1,15,0.016729177968393745,-0.07703373665654578,-4.604753252197137,-59.775800215006925,0.09616678444862313,5822.13473481166,True,600000,50000,1385601,0.1,0.003,0.0001,,50.0
run_078_dist-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.9976011517262614,0.005104219578364377,0.09090909090909091,1,10,0.09251309604701739,-0.5578877191096374,-6.030364812632639,-10.809280444919667,0.08596368426262911,1833.4466795128187,True,600000,50000,728201,0.01,0.001,0.0001,,50.0
