density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,full_id,dataset,age
0.135,0.5535155546535545,0.5535155546535545,0.5526238810073368,0.604645863738414,1.527527829744245,-0.030462506083782315,0.28929371539071486,HCPya_Consensus_26-35,Consensus,
0.135,0.5547308597929014,0.5547308597929014,0.5477228813818329,0.6208634015026518,1.3185439289025347,-0.15223648283164093,0.3471895254028283,Subj_636,HCPya,27.0
0.135,0.5704670002196799,0.5704670002196799,0.5728183910356248,0.5685776042046121,1.4937627272132217,-0.11411575254518946,0.3113722538274802,Subj_637,HCPya,27.0
0.135,0.5614968769543577,0.5614968769543577,0.5673015241426281,0.6294210611799833,1.3414827963997042,-0.12389975118523533,0.31136054508058564,Subj_638,HCPya,33.0
0.135,0.5411829786122377,0.5411829786122377,0.5382351783671121,0.5981836494093451,1.3423067251608995,-0.023499083170234747,0.34175173486382543,Subj_639,HCPya,27.0
0.135,0.5358461277865553,0.5358461277865553,0.5397354899793847,0.5664618018824135,1.4613331385356703,-0.05381687854332318,0.3023458641995164,Subj_640,HCPya,35.0
0.135,0.5702819006403277,0.5702819006403277,0.5717080374637641,0.5878787964902322,1.3659988906155114,-0.11738584819378062,0.31746706663912183,Subj_641,HCPya,22.0
0.135,0.5686461519283799,0.5686461519283799,0.570157633114208,0.5628598920711912,1.3803205630206363,-0.1387531666374311,0.3066207196551418,Subj_642,HCPya,29.0
0.135,0.5827127302076721,0.5827127302076721,0.5828386493992909,0.5900852311055287,1.2952833602316889,-0.09760364545522782,0.315745719510651,Subj_643,HCPya,29.0
0.135,0.5763764442406041,0.5763764442406041,0.5787493453396472,0.6233526366486867,1.3932766690269214,-0.1247933269784679,0.33433089949829137,Subj_644,HCPya,35.0
0.135,0.540443644220109,0.540443644220109,0.540782000777928,0.605487381459385,1.3955534672108953,-0.044472516620728375,0.29730897788134303,Subj_645,HCPya,24.0
0.135,0.5733517490682912,0.5733517490682912,0.5747333124573447,0.6211563131711797,1.3515154692069884,-0.10349839513089898,0.30518074413361707,Subj_646,HCPya,27.0
0.135,0.5758753370521352,0.5758753370521352,0.5739232062675457,0.583829314642518,1.4390305815890037,-0.15126281719549073,0.2731855520710599,Subj_647,HCPya,26.0
0.135,0.5557216240407528,0.5557216240407528,0.5549246017339433,0.6146036665433694,1.3032993478651416,-0.08921780789031486,0.3616379522829195,Subj_648,HCPya,30.0
0.135,0.5378383500220146,0.5378383500220146,0.545812687947107,0.6126091419095658,1.3428613411972545,-0.08018757145388222,0.31219084930700625,Subj_649,HCPya,23.0
0.135,0.5108319833832269,0.5108319833832269,0.5157180619693844,0.5881853212499805,1.3008430759189125,-0.034271704016913596,0.3496328345192564,Subj_650,HCPya,26.0
0.135,0.5355350643737922,0.5355350643737922,0.5425325014176318,0.5933140055595497,1.4613351429918178,-0.06675728300762174,0.3440590870513774,Subj_651,HCPya,30.0
0.135,0.5912810164352573,0.5912810164352573,0.5912810164352574,0.6077284375741872,1.33246699431482,-0.14202061892891915,0.36631132817403567,Subj_652,HCPya,25.0
0.135,0.5384339549131949,0.5384339549131949,0.5488385032528833,0.6160609060279849,1.3157745247764414,-0.1324571376116206,0.348323544292875,Subj_653,HCPya,30.0
0.135,0.5910203779766987,0.5910203779766987,0.592446467238943,0.5769902471285135,1.406469353115527,-0.10000196358204283,0.3585171191976195,Subj_654,HCPya,34.0
0.135,0.5789343585309596,0.5789343585309596,0.5808544629023735,0.5987663862009351,1.5628828756454782,-0.07429054295411386,0.2967193146310636,Subj_655,HCPya,25.0
0.135,0.4874939988984125,0.4874939988984125,0.49117965110604733,0.574960933486186,1.4163178904321234,-0.06207762786652271,0.306742810409911,Subj_656,HCPya,28.0
0.135,0.561201663098286,0.561201663098286,0.5624016918479006,0.5803057180075539,1.4581736066678417,-0.11693736984814374,0.31213051013481047,Subj_657,HCPya,32.0
0.135,0.5809860473429516,0.5809860473429516,0.5769587398418008,0.5928843704966757,1.3070414440842129,-0.1496643090909925,0.2733832776918346,Subj_658,HCPya,26.0
0.135,0.5563066681978983,0.5563066681978983,0.5565384831758629,0.6040957449581913,1.5667686963434044,-0.12639074273343875,0.3859309860883582,Subj_659,HCPya,31.0
0.135,0.5142250800172457,0.5142250800172457,0.5145171461429874,0.5801004458564255,1.4434089912110457,-0.026549990754884956,0.36276321291680413,Subj_660,HCPya,36.0
0.135,0.5350436637831912,0.5350436637831912,0.5384977753316866,0.6086558172950344,1.4899938010134146,-0.06767512184270008,0.3281329736060459,Subj_661,HCPya,29.0
0.135,0.5360623703761599,0.5360623703761599,0.5390198888381635,0.6205081184832502,1.5036967437007551,-0.15248250264042307,0.30663154464045017,Subj_662,HCPya,31.0
0.135,0.5696193756308416,0.5696193756308416,0.5594363717867352,0.6035851848632073,1.3364530513001078,-0.09530043710893543,0.35438773302786636,Subj_663,HCPya,27.0
0.135,0.5705321708716459,0.5705321708716459,0.5710261471377823,0.5991731314371427,1.3982189755829286,-0.0787100755874447,0.2671329000965507,Subj_664,HCPya,34.0
0.135,0.5728468741789929,0.5728468741789929,0.5673778351255825,0.6138610814590924,1.4593622046275438,-0.07990501757400015,0.337745728881759,Subj_665,HCPya,33.0
0.135,0.551439408278432,0.551439408278432,0.5580189536136779,0.6195102177040512,1.3935798404554898,-0.17336172398940541,0.31335396742418564,Subj_666,HCPya,33.0
0.135,0.5566232627993194,0.5566232627993194,0.5631779924259055,0.6073768993268185,1.3121268217734694,-0.038071289991509105,0.2854798592081548,Subj_667,HCPya,28.0
0.135,0.5582009516938482,0.5582009516938482,0.5598117213487275,0.6066040932034411,1.2436770134498798,-0.12904945811920465,0.29779002896621465,Subj_668,HCPya,29.0
0.135,0.580959590810611,0.580959590810611,0.582905011049147,0.6254650385156312,1.431958530882031,-0.1461137991021354,0.2955435983086214,Subj_669,HCPya,22.0
0.135,0.5629002070057875,0.5629002070057875,0.5629002070057875,0.5956599961121618,1.4684222387844958,-0.11261926892225749,0.3150694278516202,Subj_670,HCPya,26.0
0.135,0.5333968846020198,0.5333968846020198,0.535754025962525,0.6172286123104964,1.3812783790088297,-0.06826855779650742,0.35233529169787986,Subj_671,HCPya,25.0
0.135,0.5717917334919652,0.5717917334919652,0.5717917334919651,0.5775763769956291,1.4243054226166056,-0.10970144792870073,0.33079546182841346,Subj_672,HCPya,22.0
