run_id,mean_accuracy,fraction_solved,n_tasks_solved,n_tasks_total,mean_speed,switch_rate,entropy
run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.6609,0.25,5,20,452.8,6.15,2.0087
run_001_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.9765,1.0,20,20,1133.8,19.23,2.9957
run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.6267,0.2,4,20,418.6,9.42,2.2445
run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.9727,1.0,20,20,1104.2,19.23,2.9957
run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.7747,0.6,12,20,492.5,11.5,2.6594
run_005_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.9735,1.0,20,20,1232.9,19.24,2.9957
run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.7568,0.5,10,20,386.6,3.85,1.9983
run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.9727,1.0,20,20,1299.1,19.23,2.9957
run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.7134,0.35,7,20,525.8,7.08,2.3505
run_009_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.9734,1.0,20,20,1147.4,19.23,2.9957
run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.7822,0.6,12,20,395.2,10.18,2.6317
run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.977,1.0,20,20,877.0,19.24,2.9957
run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.7963,0.6,12,20,326.0,4.32,2.391
run_013_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.9754,1.0,20,20,1160.7,19.23,2.9957
run_014_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.808,0.6,12,20,322.9,8.81,2.6158
run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.9683,1.0,20,20,1254.2,19.23,2.9957
run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.8546,0.75,15,20,521.2,11.5,2.8021
run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0,0.9753,1.0,20,20,1029.0,19.24,2.9957
run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.1076,0.05,1,20,353.1,5.87,2.1378
run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.976,1.0,20,20,1130.2,19.23,2.9957
run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.6557,0.2,4,20,515.3,11.1,2.5529
run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.979,1.0,20,20,1258.0,19.23,2.9957
run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.7002,0.35,7,20,438.8,13.19,2.7071
run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.9732,1.0,20,20,1159.3,19.24,2.9957
run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.674,0.35,7,20,454.4,4.14,2.0347
run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.9777,1.0,20,20,1045.3,19.23,2.9957
run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.6592,0.25,5,20,466.3,8.79,2.3525
run_027_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.9759,1.0,20,20,1188.1,19.23,2.9957
run_028_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.7781,0.65,13,20,377.9,12.34,2.7048
run_029_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.9714,1.0,20,20,1634.5,19.24,2.9957
run_030_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.7963,0.6,12,20,270.0,4.34,2.4006
run_031_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.9742,1.0,20,20,976.2,19.23,2.9957
run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.7834,0.6,12,20,393.1,9.69,2.588
run_033_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.9745,1.0,20,20,888.8,19.23,2.9957
run_034_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.797,0.6,12,20,475.9,12.37,2.8005
run_035_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,0.967,1.0,20,20,864.5,19.24,2.9957
run_036_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.1107,0.05,1,20,229.5,3.24,0.9868
run_037_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.9624,0.95,19,20,1670.8,19.23,2.9957
run_038_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.6869,0.35,7,20,459.5,14.7,2.8132
run_039_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.9681,1.0,20,20,1411.7,19.23,2.9957
run_040_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.6759,0.3,6,20,658.9,15.96,2.9205
run_041_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.9641,0.95,19,20,1661.2,19.24,2.9957
run_042_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.4695,0.05,1,20,567.5,5.03,1.7656
run_043_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.9619,1.0,20,20,1364.4,19.23,2.9957
run_044_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.6338,0.2,4,20,538.4,13.55,2.7245
run_045_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.9669,1.0,20,20,1589.5,19.23,2.9957
run_046_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.737,0.45,9,20,528.6,15.23,2.8932
run_047_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.9671,1.0,20,20,1487.7,19.24,2.9957
run_048_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.6541,0.2,4,20,445.2,4.27,2.3891
run_049_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.9708,1.0,20,20,2504.9,19.23,2.9957
run_050_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.7387,0.4,8,20,679.9,12.95,2.7923
run_051_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.972,1.0,20,20,1760.8,19.23,2.9957
run_052_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.8297,0.7,14,20,598.4,15.32,2.9423
run_053_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp1.0,0.9708,1.0,20,20,1934.8,19.24,2.9957
run_054_dist-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.5275,0.15,3,20,249.8,2.63,1.0024
run_055_dist-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.9706,1.0,20,20,1210.5,19.23,2.9957
run_056_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.5155,0.1,2,20,204.2,5.56,1.9709
run_057_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.9703,1.0,20,20,1542.7,19.23,2.9957
run_058_dist-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.5101,0.1,2,20,350.1,9.08,2.3491
run_059_dist-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.976,1.0,20,20,1188.1,19.24,2.9957
run_060_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.6558,0.25,5,20,339.5,3.67,1.9444
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.9736,1.0,20,20,1279.4,19.23,2.9957
run_062_dist-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.6873,0.3,6,20,261.6,7.37,2.3052
run_063_dist-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.9664,1.0,20,20,1026.3,19.23,2.9957
run_064_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.7698,0.55,11,20,334.9,9.73,2.6418
run_065_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.9774,1.0,20,20,1011.5,19.24,2.9957
run_066_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.7786,0.55,11,20,253.9,4.24,2.3887
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.968,1.0,20,20,1003.1,19.23,2.9957
run_068_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.7967,0.55,11,20,474.0,8.74,2.6015
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.9768,1.0,20,20,1106.1,19.23,2.9957
