run_id,w_in_l1_sum,w_in_l0,w_rec_l1_sum,w_rec_l0,w_out_l1_sum,w_out_l0
run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,456.3185119628906,11794,300.7005920410156,9172,245.59292602539062,1555
run_001_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp1.0,4068.127685546875,13299,4673.87548828125,9995,3120.383544921875,1696
run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,517.0272216796875,12783,323.44927978515625,9359,262.71148681640625,1622
run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0,4205.1728515625,13300,4758.060546875,9997,3232.822998046875,1698
run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,686.0828857421875,12698,464.7430114746094,9388,376.18707275390625,1609
run_005_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp1.0,4289.56787109375,13300,4673.49658203125,9995,3160.49951171875,1691
run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001,2134.55029296875,12231,849.42529296875,8935,1466.406005859375,1581
run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0,4320.30859375,13300,4716.20263671875,9998,3413.064208984375,1696
run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001,1887.6068115234375,12917,790.223876953125,9492,1596.8436279296875,1639
run_009_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp1.0,4197.896484375,13300,4738.07080078125,9988,3331.85986328125,1691
run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001,1818.5413818359375,12513,1087.758544921875,9168,1334.5325927734375,1503
run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0,4024.53173828125,13298,4667.4609375,9987,3240.8974609375,1692
run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001,2859.484375,13156,1666.681396484375,9734,2041.483154296875,1673
run_013_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp1.0,4239.9697265625,13300,4675.8193359375,9990,3209.67724609375,1684
run_014_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp0.0001,2715.870849609375,12973,1746.6046142578125,9460,2186.623291015625,1637
run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0,4363.07666015625,13299,4710.5341796875,9996,3118.39453125,1690
run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001,2686.745849609375,13115,1731.723876953125,9580,2281.840087890625,1638
run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0,4084.261474609375,13299,4566.43701171875,9998,2952.60498046875,1696
run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,527.3661499023438,12815,239.49163818359375,9504,234.72279357910156,1655
run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,2072.74365234375,13187,2199.691162109375,9822,1167.4788818359375,1673
run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,320.3213806152344,10762,238.01751708984375,9326,152.921875,1548
run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0,2087.365966796875,13181,2469.041748046875,9839,1145.2432861328125,1672
run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,345.8550720214844,11481,261.36309814453125,9297,175.54879760742188,1552
