"run_id","age_cap","distance","correlation","peak_age","decay_rate","peak_fraction","pruning_fraction","l1","beta","alpha","temp","travel"
"run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001",39,0.575506537262775,0.847949753727568,3.51831653919749,0.0451573585475425,0.0902132445948074,0.907520747781433,1e-06,1e-04,0.01,1e-04,50
"run_001_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp1.0",3,1.02055985928985,0.998182803026881,3,0,1,0,1e-06,1e-04,0.01,1,50
"run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001",66,0.597980018571122,0.91857387681267,4.28949401709744,0.0572980512956124,0.0649923335923854,0.946477969643329,1e-06,1e-04,0.03,1e-04,50
"run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0",3,1.02055990870992,0.998155256895817,3,0,1,0,1e-06,1e-04,0.03,1,50
"run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001",45,0.635420940366999,0.901908795912849,5.78506020244931,0.0339038034576365,0.128556893387762,0.976421050351791,1e-06,1e-04,0.1,1e-04,50
"run_005_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp1.0",3,1.02055949611313,0.998399713212027,3,0,1,0,1e-06,1e-04,0.1,1,50
"run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001",9,0.32551415348382,0.999459495855381,3.28982966710547,0.070422735831027,0.365536629678385,0.31069265073752,1e-06,0.001,0.01,1e-04,50
"run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0",3,1.02055964282886,0.998308733582554,3,0,1,0,1e-06,0.001,0.01,1,50
"run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001",30,0.198969629377128,0.964002868178495,4.59939497049793,0.0291053681961542,0.153313165683264,0.516093432893785,1e-06,0.001,0.03,1e-04,50
"run_009_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp1.0",3,1.02055921402058,0.998591052374017,3,0,1,0,1e-06,0.001,0.03,1,50
"run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001",27,0.155561933891275,0.949954782249929,4.92324137426482,0.0431682264996656,0.182342273120919,0.402157323727179,1e-06,0.001,0.1,1e-04,50
"run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0",3,1.0205603632829,0.997918914889724,3,0,1,0,1e-06,0.001,0.1,1,50
"run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001",9,0.46380666870798,0.990311403750599,3.50340407852508,0.0177198802175101,0.38926711983612,0.0460798187175255,1e-06,0.003,0.01,1e-04,50
"run_013_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp1.0",3,1.02055935327878,0.99849355520701,3,0,1,0,1e-06,0.003,0.01,1,50
"run_014_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp0.0001",21,0.617643363258955,0.858702131905321,11.5236244733735,0.00379828345057741,0.548744022541593,0.0293275629432194,1e-06,0.003,0.03,1e-04,50
"run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0",3,1.02055961764785,0.998323997419695,3,0,1,0,1e-06,0.003,0.03,1,50
"run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001",9,0.390205462643942,0.99745974957657,2.99363043075458,0.0175353204302292,0.332625603417176,0.0930195972795201,1e-06,0.003,0.1,1e-04,50
"run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0",3,1.02055972250843,0.998261317281208,3,0,1,0,1e-06,0.003,0.1,1,50
"run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001",75,0.967468907364067,0.266931709994828,3.88439306517669,0.0215075594469377,0.0517919075356892,0.985768594998623,1e-05,1e-04,0.01,1e-04,50
"run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0",18,0.638772939804107,0.849938375762085,10.5071486598165,0.00847983940080913,0.583730481100915,0.0493499375672833,1e-05,1e-04,0.01,1,50
"run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001",75,0.710206429503393,0.748130307258003,3.88439306517669,0.0653990364396645,0.0517919075356892,1.01846263686995,1e-05,1e-04,0.03,1e-04,50
"run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0",9,0.765850026943684,0.974239850501487,6.57140776646717,0.00939449260383093,0.730156418496353,0.0173527054972687,1e-05,1e-04,0.03,1,50
"run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001",45,0.748068364510114,0.700494942350035,4.14263715849983,0.0417523658690781,0.0920586035222184,1.03821240825936,1e-05,1e-04,0.1,1e-04,50
"run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0",12,0.773077107694602,0.91922453642944,8.80840947933048,0.00724018588449607,0.73403412327754,0.0174765740231119,1e-05,1e-04,0.1,1,50
"run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001",51,0.58460772044889,0.77918351203546,3.99618545352673,0.0602889399753413,0.0783565775201321,0.894620141784304,1e-05,0.001,0.01,1e-04,50
"run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0",18,0.689525736191996,0.859781662481635,11.3470536823714,0.00409238807854662,0.630391871242854,0.0217110336958867,1e-05,0.001,0.01,1,50
"run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001",24,0.667383592504861,0.921116690580039,3.16312371621656,0.100924275522733,0.131796821509023,1.01120355413019,1e-05,0.001,0.03,1e-04,50
"run_027_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0",9,0.787774614545486,0.958923598699162,6.7813604017077,0.00978818308563316,0.753484489078633,0.0167100195392129,1e-05,0.001,0.03,1,50
"run_028_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001",33,0.521914530850685,0.964484815677288,4.24659054071857,0.0471887476419626,0.128684561839957,0.868080097092741,1e-05,0.001,0.1,1e-04,50
"run_029_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0",3,0.89212657832313,0.983181564450162,2.60164619950693,0.0466035275122112,0.867215399835643,0.0135300823110374,1e-05,0.001,0.1,1,50
"run_030_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001",30,0.27187501528208,0.976177299267884,2.72533913652462,0.111608092506493,0.0908446378841541,0.621043066037426,1e-05,0.003,0.01,1e-04,50
"run_031_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0",18,0.649292303432305,0.839530179994436,10.5071486598165,0.00559168374359868,0.583730481100915,0.032887066082982,1e-05,0.003,0.01,1,50
"run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001",57,0.446117478806646,0.969024002343073,4.21287098264124,0.0542548346193708,0.07391001723932,0.798441533856108,1e-05,0.003,0.03,1e-04,50
"run_033_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0",6,0.836669090376893,0.997755208105436,4.82073848867725,0.00620570586547222,0.803456414779542,0.0056397222288492,1e-05,0.003,0.03,1,50
"run_034_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001",36,0.417572832803316,0.96105542858153,4.65597297692759,0.0425098924012306,0.129332582692433,0.761163158869235,1e-05,0.003,0.1,1e-04,50
"run_035_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0",3,0.92964816228001,0.984564467988138,2.70973138445843,0.0108807509358301,0.903243794819476,0.0024037768074391,1e-05,0.003,0.1,1,50
"run_036_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001",75,1.75652000994678,-0.665402603538308,0.4,1.22235354453256,0.00533333333333333,0.911593806678496,1e-04,1e-04,0.01,1e-04,50
