run_id,numeric_id,beta,alpha,temp,reg_type,reg_value,travel,eps,mahal_dist,cohort
run_2658_dist-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.005,2658,0.003,0.01,0.005,Distance,0.0005,50,0.0,8.39470844526101,H-100
run_3093_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,3093,0.001,0.03,0.003,Distance,0.0005,500,-0.01,8.552924966782715,H-100
run_2660_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.003,2660,0.003,0.03,0.003,Distance,0.0005,50,0.0,8.694950771411015,H-100
run_2642_dist-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.005,2642,0.001,0.01,0.005,Distance,0.0005,50,0.0,8.776351598689036,H-100
run_3090_dist-0.0005_beta0.001_alpha0.01_trav500_blk1_temp0.005,3090,0.001,0.01,0.005,Distance,0.0005,500,0.0,8.903962782979923,H-100
run_3113_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,3113,0.003,0.1,0.003,Distance,0.0005,500,-0.01,8.908335137903174,H-100
run_3111_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,3111,0.003,0.03,0.005,Distance,0.0005,500,-0.01,9.14344238937221,H-100
run_3116_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp0.003,3116,0.003,0.2,0.003,Distance,0.0005,500,0.0,9.225978069771354,H-100
run_3105_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,3105,0.003,0.01,0.003,Distance,0.0005,500,-0.01,9.319314063561714,H-100
run_2664_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp0.003,2664,0.003,0.1,0.003,Distance,0.0005,50,0.0,9.372710774726894,H-100
run_3101_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,3101,0.001,0.2,0.003,Distance,0.0005,500,-0.01,9.400008858354608,H-100
run_3092_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp0.003,3092,0.001,0.03,0.003,Distance,0.0005,500,0.0,9.408470876539234,H-100
run_3081_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,3081,0.0001,0.1,0.003,Distance,0.0005,500,-0.01,9.440558534938699,H-100
run_2180_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp0.0001,2180,0.003,0.1,0.0001,Distance,0.0005,500,0.0,9.445673901819228,H-100
run_3127_dist-0.0005_beta0.01_alpha0.03_trav500_blk1_temp0.005_eps-0.01,3127,0.01,0.03,0.005,Distance,0.0005,500,-0.01,9.474398286332391,H-100
run_2082_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp0.001,2082,0.0001,0.01,0.001,Distance,0.0005,500,0.0,9.506502115223967,H-100
run_2230_dist-0.0005_beta0.01_alpha0.2_trav500_blk1_temp0.0001,2230,0.01,0.2,0.0001,Distance,0.0005,500,0.0,9.513971107295587,H-100
run_2668_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.003,2668,0.003,0.2,0.003,Distance,0.0005,50,0.0,9.536143212384971,H-100
run_2222_dist-0.0005_beta0.01_alpha0.1_trav500_blk1_temp0.001,2222,0.01,0.1,0.001,Distance,0.0005,500,0.0,9.642684266143158,H-100
run_3096_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp0.003,3096,0.001,0.1,0.003,Distance,0.0005,500,0.0,9.643466138755368,H-100
run_3112_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp0.003,3112,0.003,0.1,0.003,Distance,0.0005,500,0.0,9.699262166035043,H-100
run_2684_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp0.003,2684,0.01,0.2,0.003,Distance,0.0005,50,0.0,9.804256549975124,H-100
run_2636_dist-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.003,2636,0.0001,0.2,0.003,Distance,0.0005,50,0.0,9.805936537919909,H-100
run_1408_dist-0.0005_beta0.003_alpha0.01_trav50_blk1_temp1.0,1408,0.003,0.01,1.0,Distance,0.0005,50,0.0,10.387266463498962,C-temp
run_2139_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,2139,0.001,0.03,1.0,Distance,0.0005,500,-0.01,10.513878820627928,C-temp
run_1418_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp1.0,1418,0.003,0.03,1.0,Distance,0.0005,50,0.0,11.396717174021378,C-temp
run_1368_dist-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0,1368,0.001,0.01,1.0,Distance,0.0005,50,0.0,13.323609759886399,C-temp
run_2128_dist-0.0005_beta0.001_alpha0.01_trav500_blk1_temp1.0,2128,0.001,0.01,1.0,Distance,0.0005,500,0.0,12.39372638476018,C-temp
run_2189_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp1.0_eps-0.01,2189,0.003,0.1,1.0,Distance,0.0005,500,-0.01,12.076953732892338,C-temp
run_2179_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,2179,0.003,0.03,1.0,Distance,0.0005,500,-0.01,10.967470868424687,C-temp
run_2198_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp1.0,2198,0.003,0.2,1.0,Distance,0.0005,500,0.0,11.622216975479963,C-temp
run_2169_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,2169,0.003,0.01,1.0,Distance,0.0005,500,-0.01,10.753187016758357,C-temp
run_1428_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp1.0,1428,0.003,0.1,1.0,Distance,0.0005,50,0.0,10.635536266336928,C-temp
run_2159_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,2159,0.001,0.2,1.0,Distance,0.0005,500,-0.01,11.87995838560242,C-temp
run_2138_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp1.0,2138,0.001,0.03,1.0,Distance,0.0005,500,0.0,12.397013886088342,C-temp
run_2109_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,2109,0.0001,0.1,1.0,Distance,0.0005,500,-0.01,11.28259373870138,C-temp
run_2188_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp1.0,2188,0.003,0.1,1.0,Distance,0.0005,500,0.0,10.835677624526975,C-temp
run_2219_dist-0.0005_beta0.01_alpha0.03_trav500_blk1_temp1.0_eps-0.01,2219,0.01,0.03,1.0,Distance,0.0005,500,-0.01,10.622627914265745,C-temp
run_2088_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp1.0,2088,0.0001,0.01,1.0,Distance,0.0005,500,0.0,11.421638038237386,C-temp
run_2238_dist-0.0005_beta0.01_alpha0.2_trav500_blk1_temp1.0,2238,0.01,0.2,1.0,Distance,0.0005,500,0.0,9.57442696843214,C-temp
run_1438_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp1.0,1438,0.003,0.2,1.0,Distance,0.0005,50,0.0,10.195216518957384,C-temp
run_2228_dist-0.0005_beta0.01_alpha0.1_trav500_blk1_temp1.0,2228,0.01,0.1,1.0,Distance,0.0005,500,0.0,9.862105692789811,C-temp
run_2148_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp1.0,2148,0.001,0.1,1.0,Distance,0.0005,500,0.0,13.470490767656516,C-temp
run_2188_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp1.0,2188,0.003,0.1,1.0,Distance,0.0005,500,0.0,10.835677624526975,C-temp
run_1478_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp1.0,1478,0.01,0.2,1.0,Distance,0.0005,50,0.0,11.727333895914127,C-temp
run_1358_dist-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp1.0,1358,0.0001,0.2,1.0,Distance,0.0005,50,0.0,11.331703961396896,C-temp
run_2530_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.005,2530,0.003,0.01,0.005,Distance,1e-05,50,0.0,15.591312789247178,C-reg
run_2965_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,2965,0.001,0.03,0.003,Distance,1e-05,500,-0.01,15.599649073142015,C-reg
run_2532_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.003,2532,0.003,0.03,0.003,Distance,1e-05,50,0.0,14.929062834467608,C-reg
run_2514_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.005,2514,0.001,0.01,0.005,Distance,1e-05,50,0.0,15.35515354764136,C-reg
run_2962_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.005,2962,0.001,0.01,0.005,Distance,1e-05,500,0.0,13.92430365894984,C-reg
run_2985_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,2985,0.003,0.1,0.003,Distance,1e-05,500,-0.01,14.457480942581238,C-reg
run_2983_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,2983,0.003,0.03,0.005,Distance,1e-05,500,-0.01,14.658888052805912,C-reg
run_2988_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp0.003,2988,0.003,0.2,0.003,Distance,1e-05,500,0.0,14.060283506240687,C-reg
run_2977_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,2977,0.003,0.01,0.003,Distance,1e-05,500,-0.01,16.382345432522694,C-reg
run_2536_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.003,2536,0.003,0.1,0.003,Distance,1e-05,50,0.0,14.98439347523788,C-reg
run_2973_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,2973,0.001,0.2,0.003,Distance,1e-05,500,-0.01,15.780028666231615,C-reg
run_2964_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp0.003,2964,0.001,0.03,0.003,Distance,1e-05,500,0.0,14.254993137171832,C-reg
run_2953_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,2953,0.0001,0.1,0.003,Distance,1e-05,500,-0.01,14.627655232136595,C-reg
run_160_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp0.0001,160,0.003,0.1,0.0001,Distance,1e-05,500,0.0,13.868941775158566,C-reg
run_2999_dist-1e-05_beta0.01_alpha0.03_trav500_blk1_temp0.005_eps-0.01,2999,0.01,0.03,0.005,Distance,1e-05,500,-0.01,15.04736654713841,C-reg
run_613_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp0.001,613,0.0001,0.01,0.001,Distance,1e-05,500,0.0,14.30952240002094,C-reg
run_1982_dist-1e-05_beta0.01_alpha0.2_trav500_blk1_temp0.0001,1982,0.01,0.2,0.0001,Distance,1e-05,500,0.0,15.251895316132426,C-reg
run_2540_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp0.003,2540,0.003,0.2,0.003,Distance,1e-05,50,0.0,14.745078624607471,C-reg
run_1974_dist-1e-05_beta0.01_alpha0.1_trav500_blk1_temp0.001,1974,0.01,0.1,0.001,Distance,1e-05,500,0.0,14.34483286357193,C-reg
run_2968_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp0.003,2968,0.001,0.1,0.003,Distance,1e-05,500,0.0,13.397706394764828,C-reg
run_2984_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp0.003,2984,0.003,0.1,0.003,Distance,1e-05,500,0.0,14.948672848177265,C-reg
run_2556_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp0.003,2556,0.01,0.2,0.003,Distance,1e-05,50,0.0,16.28709190853895,C-reg
run_2508_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp0.003,2508,0.0001,0.2,0.003,Distance,1e-05,50,0.0,14.456517697173457,C-reg
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,67,0.003,0.01,1.0,Distance,1e-05,50,0.0,15.556959047511537,C-both
run_641_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,641,0.001,0.03,1.0,Distance,1e-05,500,-0.01,15.683061178238152,C-both
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,69,0.003,0.03,1.0,Distance,1e-05,50,0.0,14.158469475333236,C-both
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,61,0.001,0.01,1.0,Distance,1e-05,50,0.0,14.750965402622375,C-both
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,151,0.001,0.01,1.0,Distance,1e-05,500,0.0,14.830846200975552,C-both
run_665_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp1.0_eps-0.01,665,0.003,0.1,1.0,Distance,1e-05,500,-0.01,14.019370223942179,C-both
run_659_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,659,0.003,0.03,1.0,Distance,1e-05,500,-0.01,13.588713562720947,C-both
run_1950_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp1.0,1950,0.003,0.2,1.0,Distance,1e-05,500,0.0,14.267940562965245,C-both
run_653_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,653,0.003,0.01,1.0,Distance,1e-05,500,-0.01,13.642223383425858,C-both
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,71,0.003,0.1,1.0,Distance,1e-05,50,0.0,13.770787704462668,C-both
run_1935_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,1935,0.001,0.2,1.0,Distance,1e-05,500,-0.01,12.935470527097332,C-both
run_153_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0,153,0.001,0.03,1.0,Distance,1e-05,500,0.0,14.842931208527048,C-both
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,629,0.0001,0.1,1.0,Distance,1e-05,500,-0.01,14.184347551465812,C-both
run_161_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp1.0,161,0.003,0.1,1.0,Distance,1e-05,500,0.0,15.528151461755481,C-both
run_1971_dist-1e-05_beta0.01_alpha0.03_trav500_blk1_temp1.0_eps-0.01,1971,0.01,0.03,1.0,Distance,1e-05,500,-0.01,14.743221975578715,C-both
run_145_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0,145,0.0001,0.01,1.0,Distance,1e-05,500,0.0,14.215384282159265,C-both
run_1990_dist-1e-05_beta0.01_alpha0.2_trav500_blk1_temp1.0,1990,0.01,0.2,1.0,Distance,1e-05,500,0.0,15.330072838320262,C-both
run_1190_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0,1190,0.003,0.2,1.0,Distance,1e-05,50,0.0,13.71711719937877,C-both
run_1980_dist-1e-05_beta0.01_alpha0.1_trav500_blk1_temp1.0,1980,0.01,0.1,1.0,Distance,1e-05,500,0.0,15.230073361947522,C-both
run_155_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp1.0,155,0.001,0.1,1.0,Distance,1e-05,500,0.0,14.427911412773673,C-both
run_161_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp1.0,161,0.003,0.1,1.0,Distance,1e-05,500,0.0,15.528151461755481,C-both
run_1230_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp1.0,1230,0.01,0.2,1.0,Distance,1e-05,50,0.0,14.306206304142227,C-both
run_1158_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp1.0,1158,0.0001,0.2,1.0,Distance,1e-05,50,0.0,13.265944991330059,C-both
