run_id,numeric_id,beta,alpha,temp,reg_type,reg_value,travel,eps,norm_dist_network,cohort
run_2642_dist-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.005,2642,0.001,0.01,0.005,Distance,0.0005,50,0.0,0.3633646292363038,H-100
run_2660_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.003,2660,0.003,0.03,0.003,Distance,0.0005,50,0.0,0.3649416726273317,H-100
run_3093_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,3093,0.001,0.03,0.003,Distance,0.0005,500,-0.01,0.3710776116837716,H-100
run_2636_dist-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.003,2636,0.0001,0.2,0.003,Distance,0.0005,50,0.0,0.3859937789047845,H-100
run_2658_dist-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.005,2658,0.003,0.01,0.005,Distance,0.0005,50,0.0,0.3957045263232417,H-100
run_3113_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,3113,0.003,0.1,0.003,Distance,0.0005,500,-0.01,0.4003954259513374,H-100
run_2679_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005_eps-0.01,2679,0.01,0.03,0.005,Distance,0.0005,50,-0.01,0.4066217773048946,H-100
run_2680_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.003,2680,0.01,0.1,0.003,Distance,0.0005,50,0.0,0.4149605575059281,H-100
run_3081_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,3081,0.0001,0.1,0.003,Distance,0.0005,500,-0.01,0.4179108383137714,H-100
run_2150_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp0.0001,2150,0.001,0.2,0.0001,Distance,0.0005,500,0.0,0.4278290456277823,H-100
run_2664_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp0.003,2664,0.003,0.1,0.003,Distance,0.0005,50,0.0,0.4327920378514973,H-100
run_3119_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp0.005_eps-0.01,3119,0.003,0.2,0.005,Distance,0.0005,500,-0.01,0.4363219671990386,H-100
run_3105_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,3105,0.003,0.01,0.003,Distance,0.0005,500,-0.01,0.437539405082387,H-100
run_3073_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp0.003_eps-0.01,3073,0.0001,0.01,0.003,Distance,0.0005,500,-0.01,0.4527361130838999,H-100
run_2162_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp0.001,2162,0.003,0.01,0.001,Distance,0.0005,500,0.0,0.4537851858386573,H-100
run_3101_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,3101,0.001,0.2,0.003,Distance,0.0005,500,-0.01,0.4597331882180925,H-100
run_2682_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005,2682,0.01,0.1,0.005,Distance,0.0005,50,0.0,0.4601562498092282,H-100
run_2662_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.005,2662,0.003,0.03,0.005,Distance,0.0005,50,0.0,0.4627962973413392,H-100
run_2683_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005_eps-0.01,2683,0.01,0.1,0.005,Distance,0.0005,50,-0.01,0.4676610027167476,H-100
run_3097_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,3097,0.001,0.1,0.003,Distance,0.0005,500,-0.01,0.4688460112840392,H-100
run_3085_dist-0.0005_beta0.0001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,3085,0.0001,0.2,0.003,Distance,0.0005,500,-0.01,0.480394283064724,H-100
run_2676_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.003,2676,0.01,0.03,0.003,Distance,0.0005,50,0.0,0.4818558409117102,H-100
run_2671_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.005_eps-0.01,2671,0.003,0.2,0.005,Distance,0.0005,50,-0.01,0.4828257655899185,H-100
run_2678_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005,2678,0.01,0.03,0.005,Distance,0.0005,50,0.0,0.4842246717049987,H-100
run_3083_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.005_eps-0.01,3083,0.0001,0.1,0.005,Distance,0.0005,500,-0.01,0.4858514228136249,H-100
run_2684_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp0.003,2684,0.01,0.2,0.003,Distance,0.0005,50,0.0,0.4896078860568966,H-100
run_2666_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp0.005,2666,0.003,0.1,0.005,Distance,0.0005,50,0.0,0.4915958747731165,H-100
run_3111_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,3111,0.003,0.03,0.005,Distance,0.0005,500,-0.01,0.4946735087307806,H-100
run_2122_dist-0.0005_beta0.001_alpha0.01_trav500_blk1_temp0.001,2122,0.001,0.01,0.001,Distance,0.0005,500,0.0,0.4955564172022391,H-100
run_2668_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.003,2668,0.003,0.2,0.003,Distance,0.0005,50,0.0,0.4967800982123558,H-100
run_1368_dist-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0,1368,0.001,0.01,1.0,Distance,0.0005,50,0.0,0.5999045443665504,C-temp
