run_id,cohort,poli.dm1,poli.antidm1,poli.dlydm1,poli.antidlydm1,poli.dlyms,poli.dlynms
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,0.9706848889156644,0.9493278399390612,0.8370342092794574,0.83057376455444,0.9939501725145454,0.9573860041589352
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,0.9681301818222128,0.9579553406673208,0.8300708139361521,0.9075530179673424,0.946996077785244,0.9955833301689592
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,0.9632873110387914,0.9523339012191552,0.8257519712473123,0.8268701343298772,0.9968314575771546,0.9990567799973412
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,0.9513220024627886,0.9768223377470464,0.8082362909050597,0.8289767457498703,0.9971142088457118,0.9998292516899444
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,0.9530386026583292,0.9312994791284724,0.8386134194526225,0.8733190534568398,0.986978720134422,0.9901375167669872
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,0.973352000938267,0.9352995639335376,0.79563881082688,0.7789189389374532,0.923557822103396,0.9727335422995402
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,0.9507006346926394,0.962057913197193,0.8592594313405546,0.8416990078520572,0.9703138811961955,0.886196048237188
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,0.9570337198616335,0.9526668656382532,0.8608418803268825,0.8713131802071155,0.988821517257235,0.99323041786571
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,0.957465385204878,0.915072793397788,0.7721984932722927,0.8122308324299052,0.9979588991035606,0.997519859912192
run_641_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,C-both,0.9687245082375966,0.9447413931162488,0.8676743526995291,0.8132511895900723,0.9985282216906508,0.9724482160052536
