run_id,reg_type,reg_value,l1,beta,alpha,temp,travel,eps,peak_fraction,pruning_fraction,correlation,age_cap,peak_age,decay_rate,modularity,efficiency,rich_club,z_mod,z_eff,z_rc,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,beta0,beta1,std_X,mean_accuracy,fraction_solved,n_tasks_solved,n_tasks_total,mean_speed,switch_rate,entropy,dist_synaptic,dist_network,dist_cognitive,norm_dist_synaptic,norm_dist_network,norm_dist_cognitive,grand_distance,human_syn_peak,human_syn_decay,human_syn_corr,human_net_modularity,human_net_efficiency,human_net_rich_club,human_cog_baseline_stay,human_cog_reward_mod,human_cog_timescale_bal,path,probe_acc_poli_go,probe_solved_at_poli_go,probe_acc_poli_rtgo,probe_solved_at_poli_rtgo,probe_acc_poli_dlygo,probe_solved_at_poli_dlygo,probe_acc_poli_antigo,probe_solved_at_poli_antigo,probe_acc_poli_ctxgo,probe_solved_at_poli_ctxgo,probe_acc_poli_dlyantigo,probe_solved_at_poli_dlyantigo,probe_acc_poli_dlyctxgo,probe_solved_at_poli_dlyctxgo,probe_acc_poli_antictxgo,probe_solved_at_poli_antictxgo,probe_acc_poli_dlyantictxgo,probe_solved_at_poli_dlyantictxgo,probe_acc_poli_rtantictxgo,probe_solved_at_poli_rtantictxgo,probe_acc_poli_dm1,probe_solved_at_poli_dm1,probe_acc_poli_dm2,probe_solved_at_poli_dm2,probe_acc_poli_dlydm1,probe_solved_at_poli_dlydm1,probe_acc_poli_multidm,probe_solved_at_poli_multidm,probe_acc_poli_antidm1,probe_solved_at_poli_antidm1,probe_acc_poli_antidlydm1,probe_solved_at_poli_antidlydm1,probe_acc_poli_dlyms,probe_solved_at_poli_dlyms,probe_acc_poli_dlynms,probe_solved_at_poli_dlynms,probe_acc_poli_catdlyms,probe_solved_at_poli_catdlyms,probe_acc_poli_catdlynms,probe_solved_at_poli_catdlynms,probe_acc_poli_ctxdm1,probe_solved_at_poli_ctxdm1,probe_acc_poli_ctxdm2,probe_solved_at_poli_ctxdm2,probe_acc_poli_ctxdlydm1,probe_solved_at_poli_ctxdlydm1,probe_acc_poli_ctxdlydm2,probe_solved_at_poli_ctxdlydm2,probe_acc_poli_antictxdm1,probe_solved_at_poli_antictxdm1,probe_acc_poli_antictxdm2,probe_solved_at_poli_antictxdm2,probe_acc_poli_antictxdlydm1,probe_solved_at_poli_antictxdlydm1,probe_acc_poli_antictxdlydm2,probe_solved_at_poli_antictxdlydm2,probe_acc_poli_antidlyms,probe_solved_at_poli_antidlyms,probe_acc_poli_antidlynms,probe_solved_at_poli_antidlynms,probe_acc_poli_antictxdlyms,probe_solved_at_poli_antictxdlyms,probe_acc_poli_antictxcatdlyms,probe_solved_at_poli_antictxcatdlyms,probe_mean_acc,probe_mean_acc_training,probe_mean_acc_heldout,probe_frac_solved,probe_frac_solved_training,probe_frac_solved_heldout,cohort
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,Distance,1e-05,,0.001,0.01,1.0,50,0.0,1.0,0.0,0.997422802684983,3,3.0,0.0,0.1645370410725018,0.625185185185185,1.014623172103487,-16.910966815311344,8.082823215121993,-0.6883804459832326,0.5011453495129939,9.909004465846747e-06,0.0056818181818181,2.0,350.0,-0.0045814060653273,-0.0002661500852955,0.0744621701021153,0.9736,1.0,20.0,20.0,1279.4,19.23,2.9957,1.02056149551846,18.755977644310857,0.5169588115395497,0.715401748397762,0.8387824743061896,0.6966334632779557,1.3040912096063018,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,200,1.0,100,1.0,100,1.0,200,1.0,100,1.0,100,1.0,300,0.8,,1.0,100,1.0,100,1.0,2200.0,1.0,100,1.0,100,1.0,200,1.0,100,1.0,100,1.0,300.0,0.78,1600.0,0.7,,1.0,100,0.96,700.0,0.78,2700.0,0.48,,1.0,100,1.0,200,1.0,100,1.0,100,0.9531250000000001,0.99,0.8916666666666667,0.90625,0.95,0.8333333333333334,C-both
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,Distance,1e-05,,0.003,0.01,1.0,50,0.0,1.0,0.0,0.998179463372054,3,3.0,0.0,0.1599632537321069,0.6253535353535352,1.0186915887850467,-17.110804458520008,8.095256414960673,-0.6834427817906185,0.5012208594974672,0.0,0.0140845070422535,1.0,70.0,-0.0048834476949088,0.0001994918697491,0.1548962094441624,0.968,1.0,20.0,20.0,1003.1,19.23,2.9957,1.02055986524187,18.94148620561892,0.5127414593153536,0.7154006055928178,0.8470785670511154,0.6909503244664609,1.3064273711616152,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,1.0,100,1.0,100,1.0,200,1.0,200,1.0,100,1.0,400,1.0,100,1.0,200,1.0,400,1.0,200,1.0,100,1.0,100,0.9,1600.0,1.0,100,1.0,100,0.92,800.0,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100.0,0.84,3800.0,0.64,,1.0,200,1.0,1600.0,0.9,1200.0,0.52,,1.0,200,1.0,200,1.0,200,1.0,200,0.96,0.991,0.9083333333333333,0.9375,1.0,0.8333333333333334,C-both
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,Distance,1e-05,,0.003,0.03,1.0,50,0.0,1.0,0.0,0.997136157461848,3,3.0,0.0,0.1519418328661273,0.6372727272727272,1.016822429906542,-17.461275899744415,8.975526963538801,-0.6857113003783363,0.4992428918445764,1.3318305815968046e-05,0.0004345936549326,1.0,2300.0,0.0030284349362793,-0.0001838495625853,0.1448829811340079,0.9768,1.0,20.0,20.0,1106.1,19.23,2.9957,1.02056225963092,19.64501057031209,0.5207456848486609,0.7154022840317167,0.8785407450587237,0.7017365055502494,1.3326921594832055,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,1.0,100,1.0,100,1.0,100,1.0,300,1.0,100,1.0,300,1.0,100,1.0,200,1.0,300,1.0,100,1.0,100,1.0,100,0.84,2400.0,1.0,100,1.0,100,0.66,,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,400.0,0.8,3200.0,0.62,,1.0,100,0.58,,0.78,500.0,0.48,,1.0,700,1.0,900,1.0,100,1.0,300,0.93,0.975,0.855,0.875,0.95,0.75,C-both
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,Distance,1e-05,,0.003,0.1,1.0,50,0.0,1.0,0.0,0.997309902040043,3,3.0,0.0,0.1598281399718583,0.6273063973063973,1.0046816479400749,-17.11670784086021,8.239481533089299,-0.7004460507931288,0.4928917292786093,0.0280587091613803,0.3333333333333333,10.0,20.0,0.0284349986551593,-7.522579882137636,0.0074633300362314,0.9713,1.0,20.0,20.0,1102.5,19.24,2.9957,1.02056178686835,19.009507303282657,0.4379789879960064,0.7154019526306491,0.8501205254968656,0.5902033439414347,1.2581116202064362,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,1.0,100,1.0,100,1.0,100,1.0,200,1.0,100,1.0,200,1.0,100,1.0,100,1.0,200,1.0,100,1.0,100,1.0,100,0.78,4000.0,1.0,100,1.0,100,0.86,1200.0,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,200.0,0.84,,0.46,,1.0,100,1.0,1400.0,0.92,2000.0,0.46,,1.0,200,1.0,300,1.0,100,1.0,100,0.9475000000000001,0.982,0.89,0.90625,1.0,0.75,C-both
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,Distance,1e-05,,0.001,0.01,1.0,500,0.0,1.0,0.0,0.998259193065396,3,3.0,0.0,0.1562944578849104,0.6321548821548817,1.0,-17.271101267477935,8.59755768844308,-0.7061279676677965,0.4993403036483112,0.00849073825903,0.2222222222222222,2.0,7.0,0.0026387869379535,-0.3051741430238006,0.0556466350936802,0.9756,1.0,20.0,20.0,1155.0,111.41,2.9957,1.02055972612957,19.305635288803817,0.4439880968679201,0.7154005080767122,0.8633636082685113,0.5983009838911026,1.2708889307740088,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,1.0,100,1.0,100,1.0,200,1.0,200,1.0,100,1.0,900,1.0,100,1.0,200,1.0,800,1.0,100,1.0,100,1.0,100,0.82,1200.0,1.0,200,1.0,100,0.78,1500.0,1.0,100,1.0,200,1.0,200,1.0,100,1.0,200,1.0,100.0,0.82,1600.0,0.64,,1.0,100,0.92,2900.0,0.78,1300.0,0.5,,1.0,600,1.0,1900,1.0,500,1.0,600,0.9456250000000002,0.9800000000000001,0.8883333333333333,0.9375,1.0,0.8333333333333334,C-both
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,Distance,1e-05,,0.003,0.01,1.0,500,0.0,1.0,0.0,0.997654120342536,3,3.0,0.0,0.1488952197910853,0.636094276094276,1.0034403669724772,-17.59438833619462,8.888494564668083,-0.7019525406800818,0.4995792984381844,1.1983207892751755e-05,0.0002856326763781,2.0,7000.0,0.0016828066443815,-0.0003157028731535,0.0759145221406946,0.9736,1.0,20.0,20.0,1061.0,111.41,2.9957,1.02056093759278,19.724618473377948,0.5206227343534378,0.7154013572983439,0.8821008748037151,0.701570822274547,1.3349541842403343,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,1.0,100,1.0,100,1.0,200,1.0,100,1.0,100,1.0,300,1.0,200,1.0,100,1.0,300,1.0,100,1.0,100,1.0,300,0.72,,1.0,100,1.0,100,0.82,2100.0,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100.0,0.88,1900.0,0.66,,1.0,100,1.0,700.0,0.8,1400.0,0.36,,1.0,300,1.0,300,1.0,100,1.0,100,0.945,0.977,0.8916666666666666,0.90625,0.95,0.8333333333333334,C-both
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,Distance,1e-05,,0.0001,0.01,1.0,500,-0.01,1.0,0.0,0.99739497316307,3,3.0,0.0,0.152525154435991,0.6447811447811448,1.0098887515451174,-17.43578944856536,9.530047676343669,-0.6941264107389558,0.501775140802921,0.0079140086406915,0.0099009900990099,5.0,500.0,-0.0071005930449245,-0.4629719515657677,0.034188998256476,0.9645,1.0,20.0,20.0,1000.5,111.3,2.9957,1.02056156617507,19.882413683508645,0.5095304301824725,0.7154017979272245,0.88915760409275,0.6866232672704268,1.331860536449136,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,1.0,100,1.0,100,1.0,100,1.0,200,1.0,100,1.0,600,1.0,100,1.0,200,1.0,400,1.0,200,1.0,200,1.0,100,0.82,,1.0,100,1.0,100,0.82,1600.0,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,400.0,0.92,2400.0,0.66,,1.0,100,0.78,1700.0,0.84,1400.0,0.7,,1.0,200,1.0,200,1.0,100,1.0,100,0.9543750000000001,0.982,0.9083333333333333,0.90625,0.95,0.8333333333333334,C-both
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,Distance,1e-05,,0.0001,0.1,1.0,500,-0.01,1.0,0.0,0.997633276673131,3,3.0,0.0,0.154907590557318,0.6259595959595959,1.0433526011560694,-17.331696191894608,8.140015934379909,-0.6535127605393705,0.4949060725738802,0.0307966791640082,0.08,20.0,230.0,0.0203764146962287,-8.117423379311553,0.007590984548086,0.9735,1.0,20.0,20.0,1086.7,111.63,2.9957,1.02056098571726,19.159191820854048,0.4679320839482785,0.7154013910330451,0.8568145380615448,0.630566963834065,1.2820081898352076,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,1.0,100,1.0,100,1.0,100,1.0,400,1.0,100,1.0,200,1.0,100,1.0,400,1.0,200,1.0,200,1.0,100,1.0,100,0.78,1400.0,1.0,100,1.0,100,0.84,,1.0,100,1.0,300,1.0,100,1.0,200,1.0,400,1.0,300.0,0.76,,0.64,,1.0,200,0.72,,0.78,,0.48,,1.0,1600,1.0,2200,1.0,300,1.0,300,0.9375,0.9809999999999999,0.8650000000000001,0.8125,0.95,0.5833333333333334,C-both
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,Distance,1e-05,,0.001,0.01,0.001,500,0.0,1.0,0.0,0.998085192930878,3,3.0,0.0,0.155562827655093,0.6157239057239051,1.1078431372549018,-17.303067611766757,7.384077384188485,-0.5752433413078037,0.8635204903639262,0.9928500813612744,0.0001428367376089,1.0,7000.0,-1.844843135935732,-42.80933402281576,0.1589218437083072,0.9616,0.95,19.0,20.0,1183.2,79.81,2.9729,1.02056003776113,18.821574123722343,0.7217517570689727,0.7154007265268142,0.8417160018647082,0.9726044221135052,1.4718163571672074,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,1.0,100,1.0,100,1.0,100,1.0,200,1.0,100,1.0,700,1.0,100,1.0,100,1.0,600,1.0,100,1.0,100,1.0,100,0.54,,1.0,100,1.0,200,0.64,,1.0,100,1.0,100,1.0,100,1.0,100,1.0,100,1.0,500.0,0.7,,0.56,,1.0,200,0.86,1500.0,0.62,,0.58,,1.0,200,1.0,200,1.0,100,1.0,100,0.9218749999999999,0.959,0.86,0.8125,0.9,0.6666666666666666,C-reg
run_641_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,Distance,1e-05,,0.001,0.03,1.0,500,-0.01,1.0,0.0,0.998239686884521,3,3.0,0.0,0.1567481837699795,0.6338720538720534,1.1538461538461535,-17.251277103216037,8.724376326797552,-0.5194114377556391,0.4996676772568335,0.0071463678449633,0.0007137758743754,5.0,7000.0,0.0013292911684061,-0.4302200241997214,0.0332225013249348,0.9759,1.0,20.0,20.0,1381.6,111.39,2.9957,1.02055975958841,19.33884929940773,0.5159391843890729,0.7154005315309702,0.8648489656582624,0.6952594536330219,1.3202830612338587,3.24,0.031,1.0,0.551587071746386,0.5157407407407404,1.5818181818181818,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_641_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,1.0,100,1.0,100,1.0,100,1.0,400,1.0,100,1.0,200,1.0,100,1.0,100,1.0,400,1.0,100,1.0,100,1.0,100,0.82,800.0,1.0,100,1.0,100,0.66,2100.0,1.0,400,1.0,300,1.0,200,1.0,100,1.0,200,1.0,300.0,0.74,,0.5,,1.0,100,0.92,5000.0,0.64,2300.0,0.58,,1.0,500,1.0,500,1.0,100,1.0,100,0.933125,0.974,0.8649999999999999,0.90625,1.0,0.75,C-both
