run_id,reg_type,reg_value,l1,beta,alpha,temp,travel,eps,peak_fraction,pruning_fraction,correlation,age_cap,peak_age,decay_rate,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,z_mod,z_eff,z_rc,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,beta0,beta1,std_X,mean_accuracy,fraction_solved,n_tasks_solved,n_tasks_total,mean_speed,switch_rate,entropy,dist_synaptic,dist_network,dist_cognitive,norm_dist_synaptic,norm_dist_network,norm_dist_cognitive,grand_distance,human_syn_peak,human_syn_decay,human_syn_corr,human_net_modularity,human_net_efficiency,human_net_rich_club,human_cog_baseline_stay,human_cog_reward_mod,human_cog_timescale_bal,path
run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.0001,0.01,0.0001,50,0.0,0.0902132445948074,0.907520747781433,0.847949753727568,39,3.51831653919749,0.0451573585475425,0.2266189402495285,0.2266189402495285,0.2282552640127917,0.2831279380479912,1.028930583487588,0.1090719609980872,0.299193394408922,-15.73723994208532,-15.381031971976679,-4.36024331202562,0.995085550506191,0.0215457581820264,0.125,1.0,7.0,-5.310648971873423,-12.786700766603593,0.1207255405848552,0.6609,0.25,5.0,20.0,452.8,6.15,2.0087,0.575506537262775,22.433202786445776,0.38230268872232054,0.40342339465097304,0.9881133097092423,0.5151761419289191,1.185126493412848,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001
run_001_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.0001,0.01,1.0,50,0.0,1.0,0.0,0.998182803026881,3,3.0,0.0,0.2995293652305074,0.2995293652305074,0.3051555111894229,0.5795264998512089,1.052785890216127,0.5920487367960798,0.4855146585211518,-12.21778603475681,-1.0946019789115597,-4.07387023880093,0.5012349326761638,0.011963058559302,0.0042674253200568,3.0,700.0,-0.004939740749198,-0.5168919358646711,0.0462909225426495,0.9765,1.0,20.0,20.0,1133.8,19.23,2.9957,1.02055985928985,12.925512284080796,0.5102209604174031,0.715400601420521,0.5693289025331396,0.6875537987911591,1.143968376313168,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_001_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp1.0
run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.0001,0.03,0.0001,50,0.0,0.0649923335923854,0.946477969643329,0.91857387681267,66,4.28949401709744,0.0572980512956124,0.2089011689641026,0.2089011689641026,0.2124316637964484,0.2758845852461271,1.0683824993116062,0.1154265338245547,0.3397922079492957,-16.592493212052034,-15.73016204902343,-3.8866394088064786,0.992347540673026,0.2016455258739696,0.125,1.0,7.0,-4.865046312524527,-29.147872174567325,0.1197502279530642,0.6267,0.2,4.0,20.0,418.6,9.42,2.2445,0.597980018571122,23.191696681670738,0.26193670768150984,0.4191770438834559,1.0,0.3529756563939246,1.140307505949862,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001
run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.0001,0.03,1.0,50,0.0,1.0,0.0,0.998155256895817,3,3.0,0.0,0.3238877207900071,0.3238877207900071,0.3341387947819734,0.5762800401421535,1.092943236646786,0.6016898286231849,0.5161246477559892,-11.041985596447152,-1.251081548436321,-3.59179793343256,0.4986492326322782,0.0128734247331855,0.0445859872611464,7.0,150.0,0.0054030826153338,-1.2756873340580013,0.0201839895475635,0.9727,1.0,20.0,20.0,1104.2,19.23,2.9957,1.02055990870992,11.678684144525642,0.4918146910332578,0.7154006360634158,0.5144099731523183,0.6627502304973567,1.1025668045895487,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0
run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.0001,0.1,0.0001,50,0.0,0.128556893387762,0.976421050351791,0.901908795912849,45,5.78506020244931,0.0339038034576365,0.212366945716358,0.212366945716358,0.2152993965198918,0.309376899868541,1.0805646375665343,0.2553460074398057,0.3579028507677333,-16.42519695042915,-14.11583030177123,-3.7403978865233785,0.9902875619822716,0.6146086395325778,0.125,1.0,7.0,-4.624588033627805,-58.49325945479293,0.0870453967217902,0.7747,0.6,12.0,20.0,492.5,11.5,2.6594,0.635420940366999,21.97804214024303,0.37052470292417855,0.44542269496084336,0.9680648887659549,0.4993045891981258,1.176799081764568,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001
run_005_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.0001,0.1,1.0,50,0.0,1.0,0.0,0.998399713212027,3,3.0,0.0,0.3587471472293001,0.3587471472293001,0.3600093580051302,0.5587756791529119,1.0758731428316473,0.5326475473873086,0.297211643338795,-9.359288717077604,-2.094792888750338,-3.7967173369725216,0.4938497889691211,0.0351604482502306,0.0909090909090909,3.0,30.0,0.0246020849418715,-1.5167969280504094,0.0463875790726804,0.9735,1.0,20.0,20.0,1232.9,19.24,2.9957,1.02055949611313,10.315013576008655,0.46167800296935996,0.7154003468378607,0.45434449558152107,0.6221392090599661,1.0513247701689135,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_005_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp1.0
run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.001,0.01,0.0001,50,0.0,0.365536629678385,0.31069265073752,0.999459495855381,9,3.28982966710547,0.070422735831027,0.2099713298492417,0.2099713298492417,0.2244429902423881,0.4204998221935177,1.1817015839820608,0.3483202892529191,0.4715560240275603,-16.540835552538248,-8.759698204630403,-2.5262907492244167,0.9972168673892868,0.0053926773023909,0.25,1.0,3.0,-5.881391134574187,-15.190055483804498,0.0567884389203407,0.7568,0.5,10.0,20.0,386.6,3.85,1.9983,0.32551415348382,18.886865763327044,0.3706572297367583,0.22818163878722392,0.8319081148194822,0.4994831771443292,0.9968056059394537,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_006_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp0.0001
run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.001,0.01,1.0,50,0.0,1.0,0.0,0.998308733582554,3,3.0,0.0,0.3328723064329605,0.3328723064329605,0.3418946997403869,0.572626805476019,1.050223199769998,0.564197832042905,0.4617128288348214,-10.608291305746345,-1.4271676973988803,-4.104634275798346,0.501200899210505,0.0090545807903858,0.4,2.0,3.0,-0.0048036060787854,-0.6821338897974449,0.0265486896891645,0.9727,1.0,20.0,20.0,1299.1,19.23,2.9957,1.02055964282886,11.46388566770146,0.460102736845981,0.7154004496838824,0.5049487635392403,0.6200164420800479,1.0729359000692027,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0
run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.001,0.03,0.0001,50,0.0,0.153313165683264,0.516093432893785,0.964002868178495,30,4.59939497049793,0.0291053681961542,0.2293231067438979,0.2293231067438979,0.2361915878169191,0.3908584472117425,1.0995583843388603,0.2841076146384605,0.4688236777513379,-15.606707314725679,-10.18841441026594,-3.51238582626614,0.9956804517999618,0.0708359827561865,0.0625,1.0,15.0,-5.440275561118705,-39.66816728555741,0.072352406666128,0.7134,0.35,7.0,20.0,525.8,7.08,2.3505,0.198969629377128,18.9660210796936,0.37483952885852667,0.13947539796427422,0.8353946620762697,0.5051190797667937,0.9861454825771246,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001
run_009_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.001,0.03,1.0,50,0.0,1.0,0.0,0.998591052374017,3,3.0,0.0,0.3064314986187925,0.3064314986187925,0.3117765445819286,0.5701896498714157,1.0753056709888,0.5848843659464846,0.5259062588462114,-11.884613647836286,-1.5446387563525552,-3.803529601323339,0.4997780378776588,0.010955167427009,0.1228070175438596,7.0,50.0,0.0008878485476875,-1.1732013336055775,0.0186764327105348,0.9734,1.0,20.0,20.0,1147.4,19.23,2.9957,1.02055921402058,12.573654515458333,0.4624663801879068,0.7154001490942613,0.5538306543511851,0.6232015953465837,1.098592734122013,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_009_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp1.0
run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.001,0.1,0.0001,50,0.0,0.182342273120919,0.402157323727179,0.949954782249929,27,4.92324137426482,0.0431682264996656,0.2421803495228741,0.2421803495228741,0.2427673998131633,0.4371864547790789,1.107728278314809,0.4169956624185532,0.3809820688350419,-14.98607626851049,-7.9554014266592255,-3.414309634145193,0.9920804638583745,0.5800796169288822,0.0625,1.0,15.0,-4.830471580621264,-58.037247904810485,0.088800922491596,0.7822,0.6,12.0,20.0,395.2,10.18,2.6317,0.155561933891275,17.306888919234492,0.37495456922275944,0.10904710787018145,0.7623150137566445,0.5052741036595358,0.9210414603928486,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001
run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.001,0.1,1.0,50,0.0,1.0,0.0,0.997918914889724,3,3.0,0.0,0.3136142095725045,0.3136142095725045,0.3253569387744384,0.5856400947738684,1.058390271223485,0.5891177328510901,0.4486376302886342,-11.537897521331082,-0.7999263052606183,-4.0065919668900865,0.4944833909806392,0.0221367206348747,0.0021691973969631,5.0,2300.0,0.0220673315392465,-1.4843275287885214,0.0298357771585185,0.977,1.0,20.0,20.0,877.0,19.24,2.9957,1.0205603632829,12.239924039622714,0.5092903160606981,0.7154009547137921,0.5391308574399738,0.6862996988767757,1.1284803428184824,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0
run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.003,0.01,0.0001,50,0.0,0.38926711983612,0.0460798187175255,0.990311403750599,9,3.50340407852508,0.0177198802175101,0.2538524576954822,0.2538524576954822,0.2594058174753674,0.4703316570863033,1.0670196211608094,0.4759197092811611,0.4892006519462986,-14.422652770079864,-6.357800515617958,-3.903000196320795,0.9955829329134478,0.0057649278653961,0.1666666666666666,1.0,5.0,-5.417852507072061,-7.211521800956902,0.0855229455265005,0.7963,0.6,12.0,20.0,326.0,4.32,2.391,0.46380666870798,16.237855488184533,0.38227191670365473,0.32512308485993496,0.7152273922609372,0.5151346747608263,0.9394780338518636,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001
run_013_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.003,0.01,1.0,50,0.0,1.0,0.0,0.99849355520701,3,3.0,0.0,0.308868046203506,0.308868046203506,0.3229105739754639,0.573298298971458,1.0169854486383818,0.578524568825016,0.4562215163021793,-11.766999233715822,-1.3948016671623449,-4.503639706621465,0.501156036770308,0.0072446307216759,0.0909090909090909,5.0,50.0,-0.0046241553210014,-0.4963667049366991,0.029191306045933,0.9754,1.0,20.0,20.0,1160.7,19.23,2.9957,1.02055935327878,12.676376188171643,0.47487906839860494,0.7154002467126412,0.5583552268328704,0.6399284482094961,1.1104352710337997,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_013_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp1.0
